City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Yellowknife,CA,62.456,-114.3525,73.92,28,0,10.36,smoke
113,Lebu,CL,-37.6167,-73.65,51.62,88,100,13.49,overcast clouds
114,La Asuncion,VE,11.0333,-63.8628,85.73,70,75,17.27,broken clouds
115,Machico,PT,32.7,-16.7667,74.01,74,40,8.05,scattered clouds
116,Ambulu,ID,-8.345,113.6058,75.38,91,100,4.27,overcast clouds
117,Agadir,MA,30.4202,-9.5982,73.85,70,1,4.74,clear sky
118,Aksehir,TR,38.3575,31.4164,65.1,31,0,4.09,clear sky
119,Noumea,NC,-22.2763,166.4572,73.99,99,100,7.58,overcast clouds
120,Atuona,PF,-9.8,-139.0333,77.7,72,35,26.84,scattered clouds
121,Okulovka,RU,58.4008,33.2908,62.15,90,47,4.05,scattered clouds
122,Zyryanka,RU,65.75,150.85,60.4,66,100,19.62,overcast clouds
123,Srednekolymsk,RU,67.45,153.6833,54.21,67,98,15.43,overcast clouds
124,Alice Springs,AU,-23.7,133.8833,27.95,80,0,6.91,clear sky
125,Talnakh,RU,69.4865,88.3972,52.21,55,100,2.98,overcast clouds
126,Ulladulla,AU,-35.35,150.4667,55.76,83,98,7.96,overcast clouds
127,Luganville,VU,-15.5333,167.1667,78.22,88,63,12.19,broken clouds
128,Hudiksvall,SE,61.729,17.1036,57.56,69,23,2.48,few clouds
129,Strezhevoy,RU,60.7333,77.5889,53.71,68,100,8.3,overcast clouds
130,Udachnyy,RU,66.4167,112.4,57.45,87,99,5.84,light rain
131,Dingle,PH,10.9995,122.6711,76.01,90,94,1.54,overcast clouds
132,Buta,CD,2.7858,24.73,69.8,96,87,1.21,overcast clouds
133,Sambava,MG,-14.2667,50.1667,69.51,81,46,9.93,light rain
134,Khorramshahr,IR,30.4397,48.1664,100.36,16,0,9.22,clear sky
135,Buraydah,SA,26.326,43.975,93.65,16,1,10.4,clear sky
136,Esperance,AU,-33.8667,121.9,53.44,78,100,9.44,overcast clouds
137,Palora,EC,-1.7,-77.9333,69.91,79,94,0.72,overcast clouds
138,Butaritari,KI,3.0707,172.7902,82.72,77,41,22.44,scattered clouds
139,Pangnirtung,CA,66.1451,-65.7125,46.4,76,75,14.97,broken clouds
140,Hilo,US,19.7297,-155.09,87.28,75,75,6.91,light rain
141,Canete,CL,-37.8,-73.4,50.5,91,100,7.38,overcast clouds
142,Oussouye,SN,12.485,-16.5469,84.38,79,100,8.23,overcast clouds
143,Severo-Kurilsk,RU,50.6789,156.125,52.39,75,8,8.08,clear sky
144,Suntar,RU,62.1444,117.6319,57.72,97,100,10.54,light rain
145,Katsuura,JP,35.1333,140.3,74.48,95,100,4.18,overcast clouds
146,Aranos,NA,-24.1333,19.1167,57.63,34,0,10.27,clear sky
147,La Paz,BO,-16.5,-68.15,64.38,13,40,2.3,scattered clouds
148,Mokhsogollokh,RU,61.4681,128.9203,72.12,74,0,3.98,clear sky
149,Saint-Augustin,CA,51.226,-58.6502,66.2,39,100,18.57,overcast clouds
150,Saint Anthony,US,45.0205,-93.218,88.66,66,0,9.22,clear sky
151,Georgetown,MY,5.4112,100.3354,81.9,90,20,0.0,few clouds
152,Matadi,CD,-5.8167,13.45,73.54,74,97,6.22,overcast clouds
153,Birjand,IR,32.8663,59.2211,73.87,23,89,9.22,overcast clouds
154,Kruisfontein,ZA,-34.0033,24.7314,56.88,93,100,3.83,light rain
155,Klaksvik,FO,62.2266,-6.589,50.92,94,100,8.08,overcast clouds
156,Yulara,AU,-25.2406,130.9889,40.14,41,0,5.59,clear sky
157,Rawson,AR,-43.3002,-65.1023,54.64,32,0,26.66,clear sky
158,Thompson,CA,55.7435,-97.8558,69.96,32,40,5.75,scattered clouds
159,Cockburn Town,TC,21.4612,-71.1419,81.7,76,1,17.09,clear sky
160,Hasaki,JP,35.7333,140.8333,73.8,97,100,20.27,overcast clouds
161,Tuy Hoa,VN,13.0833,109.3,80.71,79,43,7.65,scattered clouds
162,Zatoka,UA,46.0725,30.4654,74.84,62,0,8.5,clear sky
163,Gamba,GA,-2.65,10.0,69.73,87,46,6.73,scattered clouds
164,Chokurdakh,RU,70.6333,147.9167,42.57,64,100,15.3,overcast clouds
165,Cap-Aux-Meules,CA,47.3821,-61.8597,68.05,52,20,18.41,few clouds
166,Flinders,AU,-34.5833,150.8552,56.17,87,100,1.99,light rain
167,Edson,CA,53.5835,-116.4356,53.74,100,100,8.05,overcast clouds
168,Heihe,CN,50.2441,127.4902,70.38,93,5,4.63,clear sky
169,Vardo,NO,70.3705,31.1107,51.78,93,75,1.14,broken clouds
170,East London,ZA,-33.0153,27.9116,65.16,62,100,16.02,overcast clouds
171,Kibondo,TZ,-3.5864,30.7203,62.19,43,2,2.13,clear sky
172,Teshie,GH,5.5836,-0.1072,77.63,83,37,9.6,scattered clouds
173,Eregli,TR,37.5133,34.0467,68.41,36,0,2.59,clear sky
174,Coevorden,NL,52.661,6.7405,62.71,67,44,7.9,scattered clouds
175,Nome,US,64.5011,-165.4064,51.87,82,100,9.22,overcast clouds
176,Kieta,PG,-6.2167,155.6333,78.96,81,100,2.04,overcast clouds
177,Ingraj Bazar,IN,25.0,88.15,84.74,73,53,9.57,broken clouds
178,Portland,US,45.5234,-122.6762,71.64,73,75,10.36,broken clouds
179,Along,IN,28.1667,94.7667,77.5,98,10,1.25,clear sky
180,Maragogi,BR,-9.0122,-35.2225,74.79,86,9,12.19,clear sky
181,Lasa,IT,46.6166,10.7002,68.88,87,17,6.2,few clouds
182,Acarau,BR,-2.8856,-40.12,79.14,69,100,11.25,overcast clouds
183,Urucara,BR,-2.5364,-57.76,84.43,68,59,3.71,broken clouds
184,Kyshtovka,RU,56.555,76.6271,56.84,98,95,8.95,overcast clouds
185,Mazamari,PE,-11.3258,-74.5308,90.59,33,37,1.52,scattered clouds
186,Galveston,US,29.3669,-94.9669,97.18,64,0,10.36,clear sky
187,Upernavik,GL,72.7868,-56.1549,40.12,86,45,8.37,scattered clouds
188,Ormara,PK,25.2088,64.6357,85.44,81,99,5.21,light rain
189,Eau Claire,US,44.8114,-91.4985,87.93,69,40,8.01,scattered clouds
190,Westport,US,41.1415,-73.3579,79.93,66,20,13.8,light rain
191,Puerto Escondido,MX,15.85,-97.0667,86.83,58,40,5.75,scattered clouds
192,Morant Bay,JM,17.8815,-76.4093,89.71,69,22,11.43,few clouds
193,Dangara,IN,29.6799,75.8931,94.69,48,100,11.27,overcast clouds
194,Pemberton,CA,50.3164,-122.8027,67.69,46,54,2.77,broken clouds
195,Quelimane,MZ,-17.8786,36.8883,65.98,84,34,4.25,scattered clouds
196,Tianpeng,CN,30.9866,103.9393,82.72,52,0,6.87,clear sky
