City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Tuatapere,-46.1333,167.6833,50.77,74,62,13.4,NZ,2022-07-03 03:47:12
99,Bengkulu,-3.8004,102.2655,83.16,65,76,3.69,ID,2022-07-03 03:57:05
100,Adrar,20.5022,-10.0711,89.55,18,30,8.19,MR,2022-07-03 03:57:05
101,Port Lincoln,-34.7333,135.8667,53.73,64,100,9.28,AU,2022-07-03 03:47:21
102,Provideniya,64.3833,-173.3,52.25,68,100,4.61,RU,2022-07-03 03:47:14
103,Cayenne,4.9333,-52.3333,81.09,1,0,0.0,GF,2022-07-03 03:52:22
104,Fort Nelson,58.8053,-122.7002,76.59,33,20,2.3,CA,2022-07-03 03:57:07
105,Thompson,55.7435,-97.8558,57.36,72,100,2.3,CA,2022-07-03 03:57:07
106,Srednekolymsk,67.45,153.6833,66.24,30,1,13.96,RU,2022-07-03 03:57:07
107,Outram,1.2829,103.8379,87.93,74,40,10.36,MY,2022-07-03 03:57:07
108,Ankpa,7.3706,7.6253,69.24,98,83,5.17,NG,2022-07-03 03:57:08
109,East London,-33.0153,27.9116,59.94,72,0,10.36,ZA,2022-07-03 03:57:08
110,Pak Phanang,8.3511,100.202,93.22,71,100,7.23,TH,2022-07-03 03:57:08
111,Esperance,-33.8667,121.9,59.95,51,0,5.59,AU,2022-07-03 03:57:09
112,Morro Bay,35.3658,-120.8499,60.12,84,24,8.99,US,2022-07-03 03:57:09
113,Barrow,71.2906,-156.7887,50.56,63,17,13.38,US,2022-07-03 03:56:37
114,Nyimba,-14.5566,30.8149,56.5,87,3,2.37,ZM,2022-07-03 03:57:09
115,Cidreira,-30.1811,-50.2056,61.36,91,94,7.47,BR,2022-07-03 03:49:58
116,Torres,-29.3353,-49.7269,64.83,95,86,9.64,BR,2022-07-03 03:57:10
117,Nueve De Julio,-35.4444,-60.8831,39.4,40,1,5.19,AR,2022-07-03 03:53:24
118,Hualmay,-11.0964,-77.6139,61.72,83,68,6.02,PE,2022-07-03 03:57:11
119,Sisophon,13.5859,102.9737,86.7,66,99,12.37,KH,2022-07-03 03:57:11
120,Jackson,42.4165,-122.8345,68.95,77,75,5.75,US,2022-07-03 03:57:12
121,Chuy,-33.6971,-53.4616,43.3,88,24,3.8,UY,2022-07-03 03:57:12
122,Snezhnogorsk,69.1933,33.2531,67.78,62,6,14.23,RU,2022-07-03 03:57:13
123,Bluff,-46.6,168.3333,51.8,75,54,33.29,NZ,2022-07-03 03:57:13
124,Ust-Maya,60.4167,134.5333,83.17,32,100,3.53,RU,2022-07-03 03:57:13
